zip_part	map	page	images	categories
3	Prison	https://counterstrike.fandom.com/wiki/Prison	Image	Counter-Strike cut maps
3	Prodigy	https://counterstrike.fandom.com/wiki/Prodigy	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source Bomb maps
3	Quarry	https://counterstrike.fandom.com/wiki/Quarry	Image	Counter-Strike: Condition Zero cut maps
3	Radio (hostage rescue map)	https://counterstrike.fandom.com/wiki/Radio_(hostage_rescue_map)	Image	Counter-Strike: Condition Zero cut maps
3	Railroad	https://counterstrike.fandom.com/wiki/Railroad	Image	Counter-Strike cut maps
3	Rails	https://counterstrike.fandom.com/wiki/Rails	Image; Radar	Community Bomb maps; Operation Bloodhound maps
3	Range	https://counterstrike.fandom.com/wiki/Range	Image	Counter-Strike: Condition Zero cut maps; Training maps
3	Ravine	https://counterstrike.fandom.com/wiki/Ravine	Image; Radar; Logo	Community Bomb maps; Operation Riptide maps
3	Resort	https://counterstrike.fandom.com/wiki/Resort	Image; Radar	Community Bomb maps; Operation Bloodhound maps
3	Rialto	https://counterstrike.fandom.com/wiki/Rialto	Image; Radar; Logo	Operation Hydra maps; Counter-Strike: Global Offensive removed maps
3	Riverside	https://counterstrike.fandom.com/wiki/Riverside	Image	Assassination maps; Counter-Strike cut maps
3	Rockworld	https://counterstrike.fandom.com/wiki/Rockworld	Image	Counter-Strike: Source experimental maps
3	Rooftop	https://counterstrike.fandom.com/wiki/Rooftop	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
3	Rooftop Control	https://counterstrike.fandom.com/wiki/Rooftop_Control	Image; Radar	Control Point maps
3	Rooftops	https://counterstrike.fandom.com/wiki/Rooftops	Image	Counter-Strike: Condition Zero cut maps
3	Rotterdam	https://counterstrike.fandom.com/wiki/Rotterdam	Image	Counter-Strike cut maps
3	Royal	https://counterstrike.fandom.com/wiki/Royal	Image; Radar	Community Bomb maps; Operation Wildfire maps
3	Rubble	https://counterstrike.fandom.com/wiki/Rubble	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
3	Ruby	https://counterstrike.fandom.com/wiki/Ruby	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
3	Ruins	https://counterstrike.fandom.com/wiki/Ruins	Image; Radar	Community Bomb maps; Operation Bravo maps
3	Rush	https://counterstrike.fandom.com/wiki/Rush	Image; Radar	Community Hostage maps; Operation Breakout maps
3	Safehouse	https://counterstrike.fandom.com/wiki/Safehouse	Image; Radar; Logo	Counter-Strike: Global Offensive Arms Race maps; Demolition Group; Flying Scoutsman Group
4	Sanctum	https://counterstrike.fandom.com/wiki/Sanctum	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
4	Santorini	https://counterstrike.fandom.com/wiki/Santorini	Image; Radar	Community Bomb maps; Operation Wildfire maps
4	Seaside	https://counterstrike.fandom.com/wiki/Seaside	Image; Radar; Logo	Community Bomb maps; Operation Bravo maps; Operation Payback maps; Operation Phoenix maps; Counter-Strike: Global Offensive removed maps
4	Season	https://counterstrike.fandom.com/wiki/Season	Image; Radar	Community Bomb maps; Operation Bloodhound maps; Operation Vanguard maps
4	Ship	https://counterstrike.fandom.com/wiki/Ship	Image	Counter-Strike cut maps
4	Shipped	https://counterstrike.fandom.com/wiki/Shipped	Image; Radar; Logo	Community Bomb maps; Operation Hydra maps; Counter-Strike: Global Offensive removed maps
4	Shoothouse	https://counterstrike.fandom.com/wiki/Shoothouse	Image	Counter-Strike: Condition Zero cut maps
4	Shoots	https://counterstrike.fandom.com/wiki/Shoots	Image; Radar; Logo	Counter-Strike: Global Offensive Arms Race maps; Arms Race Group; Flying Scoutsman Group
4	Shortdust	https://counterstrike.fandom.com/wiki/Shortdust	Image; Radar; Logo	Demolition Group
4	Shorttrain	https://counterstrike.fandom.com/wiki/Shorttrain	Image; Radar; Logo	Counter-Strike: Global Offensive removed maps
4	Siege	https://counterstrike.fandom.com/wiki/Siege	Image; Radar	Community Hostage maps; Operation Bravo maps; Counter-Strike Hostage maps
4	Sienna	https://counterstrike.fandom.com/wiki/Sienna	Image	Counter-Strike: Condition Zero Bomb maps
4	Silo	https://counterstrike.fandom.com/wiki/Silo	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
4	Sirocco	https://counterstrike.fandom.com/wiki/Sirocco	Image; Radar; Logo	Danger Zone maps; Danger Zone Group
4	Site	https://counterstrike.fandom.com/wiki/Site	Image	Counter-Strike: Source cut maps
4	St. Marc	https://counterstrike.fandom.com/wiki/St._Marc	Image; Radar; Logo	Counter-Strike: Global Offensive Arms Race maps; Demolition Group
4	Stadium	https://counterstrike.fandom.com/wiki/Stadium	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source cut maps
4	Station	https://counterstrike.fandom.com/wiki/Station	Image	Counter-Strike cut maps
4	Storm	https://counterstrike.fandom.com/wiki/Storm	Image	Counter-Strike Bomb maps
4	Stronghold	https://counterstrike.fandom.com/wiki/Stronghold	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
4	Studio	https://counterstrike.fandom.com/wiki/Studio	Image; Radar; Logo	Community Bomb maps; Operation Shattered Web maps
4	Subzero	https://counterstrike.fandom.com/wiki/Subzero	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
4	Sugarcane	https://counterstrike.fandom.com/wiki/Sugarcane	Image; Radar; Logo	Demolition Group
4	Survivor	https://counterstrike.fandom.com/wiki/Survivor	Image	Counter-Strike Bomb maps
4	Swamp	https://counterstrike.fandom.com/wiki/Swamp	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
4	Terminal (map)	https://counterstrike.fandom.com/wiki/Terminal_(map)	Image	Counter-Strike: Condition Zero cut maps
4	Thera	https://counterstrike.fandom.com/wiki/Thera	Image; Upper Radar; Lower Radar; Logo	Counter-Strike 2 Community Bomb maps
